2023-01-25T13:48:26.826Z,mb,"95 km N of Huocheng, China",earthquake
2023-01-25T13:19:39.197Z,ml,"40 km ESE of Perryville, Alaska",earthquake
2023-01-25T13:13:38.222Z,mb,"southern Xinjiang, China",earthquake
2023-01-25T12:46:17.709Z,mb,"201 km SE of Kokopo, Papua New Guinea",earthquake
2023-01-25T12:37:05.514Z,mww,"62 km SE of Lárdos, Greece",earthquake
2023-01-25T12:01:53.650Z,md,"4 km SSW of Pāhala, Hawaii",earthquake
2023-01-25T10:45:35.681Z,mb,Fiji region,earthquake
2023-01-25T10:39:15.740Z,md,"15 km ESE of La Romana, Dominican Republic",earthquake
2023-01-25T10:38:48.100Z,ml,"15km S of Malibu Beach, CA",earthquake
2023-01-25T10:22:32.970Z,ml,"17km S of Malibu Beach, CA",earthquake
2023-01-25T10:03:33.360Z,ml,"16km S of Malibu Beach, CA",earthquake
2023-01-25T10:01:41.890Z,ml,Oklahoma,earthquake
2023-01-25T10:00:54.680Z,mw,"16km S of Malibu Beach, CA",earthquake
2023-01-25T09:11:39.331Z,mb,"23 km NNW of Zorritos, Peru",earthquake
2023-01-25T08:35:29.410Z,ml,"13 km ESE of Pāhala, Hawaii",earthquake
2023-01-25T08:22:59.880Z,md,"107 km NNE of San Juan, Puerto Rico",earthquake
2023-01-25T07:48:18.020Z,md,"13km SE of Mammoth Lakes, CA",earthquake
2023-01-25T07:37:56.570Z,md,"Island of Hawaii, Hawaii",earthquake
2023-01-25T06:46:52.520Z,md,"11 km NNE of Hatillo, Puerto Rico",earthquake
2023-01-25T05:16:33.720Z,md,"2 km SSW of Hormigueros, Puerto Rico",earthquake
2023-01-25T05:15:30.147Z,mwr,offshore El Salvador,earthquake
2023-01-25T05:13:32.170Z,ml,"7 km SW of Corinne, Utah",earthquake
2023-01-25T04:48:06.735Z,mb,"128 km W of Diego de Almagro, Chile",earthquake
2023-01-25T04:36:25.080Z,md,"1 km S of Vega Baja, Puerto Rico",earthquake
2023-01-25T03:57:48.845Z,mb,"33 km W of Taksimo, Russia",earthquake
2023-01-25T03:35:20.562Z,mb,"40 km E of Cortes, Philippines",earthquake
